127.0.0.1 - - [11/Sep/2024:08:36:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:36:38 +0900] "GET /webPro/html/days02/ex13.html HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:36:38 +0900] "GET /webPro/images/SiSt.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:37:37 +0900] "GET /webPro/html/days01/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:37:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:45:56 +0900] "GET /webPro/html/days02/ex11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:08:59:37 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:15:10 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:15:10 +0900] "GET /webPro/html/days03/pic_trulli.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:16:47 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:16:47 +0900] "GET /webPro/html/days03/pic_trulli.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:19:51 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:19:51 +0900] "GET /webPro/html/images/pic_trulli.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:19:51 +0900] "GET /webPro/images/pic_trulli.jpg HTTP/1.1" 200 109517
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:20:58 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:56 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:58 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:59 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:21:59 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Sep/2024:09:22:00 +0900] "GET /webPro/html/days03/ex01.html HTTP/1.1" 304 -
